"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1978","TC-08: Order confirmation message should be displayed","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","1678","TC-03: Payment information should be visible on overview page","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","1872","TC-07: User should be able to finish the order","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","1759","TC-04: Shipping information should be visible on overview page","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","1245","TC-01: Valid username and password should login successfully","chromium","2026-05-08","passed","2026-05-08","Login Tests","login.spec.ts","",""
"","1904","TC-12: Empty postal code should show error message","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","1689","TC-11: Empty last name should show error message","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","4710","TC-01: User should be able to add multiple items to cart","chromium","2026-05-08","passed","2026-05-08","Cart Tests","cart.spec.ts","",""
"","1663","TC-06: Cancel button should return user to inventory page","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","1280","TC-02: Valid username with wrong password should show error","chromium","2026-05-08","passed","2026-05-08","Login Tests","login.spec.ts","",""
"","1749","TC-09: Back home button should return to inventory page","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","1935","TC-01: User should be able to fill checkout form and continue","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","4981","TC-04: Cart should show correct item names","chromium","2026-05-08","passed","2026-05-08","Cart Tests","cart.spec.ts","",""
"","1231","TC-06: Locked out user should see locked out error","chromium","2026-05-08","passed","2026-05-08","Login Tests","login.spec.ts","",""
"","4746","TC-02: Cart badge should show correct number of items","chromium","2026-05-08","passed","2026-05-08","Cart Tests","cart.spec.ts","",""
"","1543","TC-05: Empty username and password should show error","chromium","2026-05-08","passed","2026-05-08","Login Tests","login.spec.ts","",""
"","1286","TC-03: Wrong username with valid password should show error","chromium","2026-05-08","passed","2026-05-08","Login Tests","login.spec.ts","",""
"","1991","TC-05: Total price should include tax","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","5019","TC-03: User should see added items when navigating to cart","chromium","2026-05-08","passed","2026-05-08","Cart Tests","cart.spec.ts","",""
"","1626","TC-07: Continue shopping button should return to inventory page","chromium","2026-05-08","passed","2026-05-08","Cart Tests","cart.spec.ts","",""
"","1417","TC-06: User should be able to remove item from cart","chromium","2026-05-08","passed","2026-05-08","Cart Tests","cart.spec.ts","",""
"","1620","TC-08: User should be able to proceed to checkout from cart","chromium","2026-05-08","passed","2026-05-08","Cart Tests","cart.spec.ts","",""
"","1805","TC-02: Checkout overview page should load correctly","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","1290","Seed - Login to SauceDemo","chromium","2026-05-08","passed","2026-05-08","","seed.spec.ts","",""
"","1604","TC-10: Empty first name should show error message","chromium","2026-05-08","passed","2026-05-08","Checkout Tests","checkout.spec.ts","",""
"","1385","TC-04: Wrong username and wrong password should show error","chromium","2026-05-08","passed","2026-05-08","Login Tests","login.spec.ts","",""
"","1472","TC-05: Cart should show correct item prices","chromium","2026-05-08","passed","2026-05-08","Cart Tests","cart.spec.ts","",""
